author_a,author_b,score
Hai-Lin Yong,Chao‐Yang Lu,20.131
Jin Lin,Li Li,17.868
Jin Lin,Nai-Le Liu,17.373
Feihu Xu,Xiao‐Long Hu,15.994
Yang Li,Li Li,15.585
Yu-Ao Chen,Yang Li,15.165
Yang Li,Nai-Le Liu,15.09
Ming-Cheng Chen,Li-Chao Peng,14.741
Yingqiu Mao,Feihu Xu,14.621
Chao‐Yang Lu,Yang Li,14.559
Yu-Ao Chen,Shi-Biao Tang,13.935
Qi Shen,Qiang Zhang,13.505
Hui Wang,Li Li,13.226
Cheng-Zhi Peng,Zong‐Wen Yu,13.194
Ming-Cheng Chen,Hao Li,13.067
Shuang-Lin Li,Bo Li,12.401
Wei Li,Qiang Zhang,12.251
He-Liang Huang,Hao Rong,12.168
He-Liang Huang,Shiyu Wang,12.163
Hai-Lin Yong,Liang Zhang,12.04
Ximeng Liu,Jin Li,11.987
Hai-Lin Yong,Jianyu Wang,11.977
Ming-Cheng Chen,Weijun Zhang,11.711
Hui Wang,Weijun Zhang,11.536
Yong-Heng Huo,Yuming He,11.13
Cheng-Zhi Peng,Cong Jiang,10.863
Yu-Huai Li,Zong‐Wen Yu,10.717
Xiang‐Bin Wang,Qi Shen,10.523
Wei Li,Yang Liu,10.351
Xiang‐Bin Wang,Wei Li,10.181
Juan Yin,Zong‐Wen Yu,10.144
Hai-Lin Yong,Rong Shu,9.993
Chao‐Yang Lu,Qi Shen,9.961
Zong‐Wen Yu,Wei-Yue Liu,9.829
Kyo Inoue,Ryoichi Kasahara,9.697
Feihu Xu,Cong Jiang,9.575
Jin Lin,Liang Zhang,9.517
Yi Hu,Hui Wang,9.491
Jin Lin,Jianyu Wang,9.464
Yang Li,Liang Zhang,9.443
Yang Li,Jianyu Wang,9.389
Feihu Xu,Zong‐Wen Yu,9.36
Shantanu Mundhada,S. M. Girvin,9.292
Chong Ying,Hao Rong,9.25
Ji-Gang Ren,Zong‐Wen Yu,9.129
Xiaobo Zhu,Chong Ying,9.129
Philippe Campagne-Ibarcq,Zaki Leghtas,9.074
Chang‐Ling Zou,Zhen‐Biao Yang,9.069
Sheng‐Kai Liao,Zong‐Wen Yu,9.061
Franco Nori,Dongning Zheng,9.029
Yi Hu,Ming-Cheng Chen,8.999
Fengzhi Li,Wei-Yue Liu,8.994
Yi-Han Luo,Jian Qin,8.951
Lixing You,Yong-Heng Huo,8.742
Terry P. Orlando,Roni Winik,8.711
Qi Shen,Nai-Le Liu,8.687
Qi Shen,Li Li,8.681
Cong Jiang,Yuan Cao,8.633
Alexander N. Korotkov,Charles Neill,8.484
Jin Lin,Rong Shu,8.448
Charles Neill,A. Dunsworth,8.397
Chris Quintana,Charles Neill,8.395
Yi-Han Luo,Hui Wang,8.389
Yang Li,Rong Shu,8.373
Jin Lin,Fengzhi Li,8.356
Chong Ying,Youwei Zhao,8.313
Dian Wu,Yu-Hao Deng,8.313
Juanzi Li,Yang Liu,8.302
Ming-Cheng Chen,Yu-Hao Deng,8.262
Sheng‐Kai Liao,Cong Jiang,8.258
Cong Jiang,Wei-Yue Liu,8.233
Yu-Hao Deng,Nai-Le Liu,8.204
Oliver Dial,Mary Beth Rothwell,8.158
Cong Jiang,Yu-Huai Li,8.144
Hao Li,Zhen Wang,8.096
Charles Neill,P. Roushan,8.005
Y. Yamamoto,Koji Igarashi,7.996
Yang Li,Fengzhi Li,7.97
Yang Liu,Xiaozhi Wang,7.959
Xiang‐Bin Wang,Fengzhi Li,7.953
Pei Zeng,Zhen Wang,7.915
Warit Asavanant,Peter van Loock,7.914
Yang Liu,Yusheng Su,7.91
Yang Liu,Yujia Qin,7.91
Bi‐Heng Liu,Zong‐Quan Zhou,7.856
Jonathan Home,C. Ospelkaus,7.854
Hao Tan,Qiang Zhang,7.806
David McKay,Matthias Steffen,7.804
Shuntaro Takeda,Mamoru Endo,7.757
Barry C. Sanders,Yingqiu Mao,7.73
Bi‐Heng Liu,Gongchu Li,7.692
Chao‐Yang Lu,Cong Jiang,7.642
Fengzhi Li,Li Li,7.612
Ryoichi Kasahara,Koji Igarashi,7.607
Philip Krantz,Alexander Melville,7.598
Juan Yin,Cong Jiang,7.587
Chao‐Yang Lu,Chi Zhang,7.575
Philip Walther,Gregor Weihs,7.502
Shi‐Biao Zheng,Heng Fan,7.468
Nicholas Frattini,Robert Schoelkopf,7.396
