author,collaborators,joint_papers
Andreas Bengtsson,29,123
Brian Burkett,26,106
Alejandro Grajales Dau,24,98
Hung-Shen Chang,24,98
Ilya Drozdov,20,80
Jonathan A. Gross,20,80
Sean D. Harrington,20,80
Abraham Asfaw,19,76
Agustín Di Paolo,19,76
Raja Gosula,19,76
Élie Genois,19,76
Alexandre Bourassa,18,77
Matthew P. Harrigan,18,72
Steve Habegger,18,72
Ben Curtin,17,68
Joseph C. Bardin,17,68
Leslie Flores Burgos,17,68
Sean Demura,17,68
Brooks Foxen,16,64
Frank Arute,16,64
Michael Broughton,16,64
M. Ansmann,13,52
Shibo Xu,12,55
Zehang Bao,12,55
Jiarun Zhong,12,48
